B_T,shared_flux_quanta,shared_phase_envelope,R1_R2_shared_phase_state,independent_channel_periods,independent_channel_loop_geometry,manual_period_fit
-0.0284,-27.4683577962208,0.0992432770144052,1,0,0,0
-0.0283,-27.3716382265158,0.392419298668319,1,0,0,0
-0.0282,-27.2749186568108,0.649642346711482,1,0,0,0
-0.0281,-27.1781990871058,0.847345961773188,1,0,0,0
-0.028,-27.0814795174008,0.967416781745121,1,0,0,0
-0.0279,-26.9847599476958,0.998854065744978,1,0,0,0
-0.0278,-26.8880403779908,0.938777568469138,1,0,0,0
-0.0277,-26.7913208082858,0.792691424725734,1,0,0,0
-0.0276,-26.6946012385807,0.573979867371617,1,0,0,0
-0.0275,-26.5978816688757,0.302680980355761,1,0,0,0
-0.0274,-26.5011620991707,0.00365083410741034,1,0,0,0
-0.0273,-26.4044425294657,0.295713797072647,1,0,0,0
-0.0272,-26.3077229597607,0.567985493785517,1,0,0,0
-0.0271,-26.2110033900557,0.788219057973703,1,0,0,0
-0.027,-26.1142838203507,0.93623696129361,1,0,0,0
-0.0269,-26.0175642506457,0.99847798545135,1,0,0,0
-0.0268,-25.9208446809407,0.969239684347454,1,0,0,0
-0.0267,-25.8241251112357,0.851200835176564,1,0,0,0
-0.0266,-25.7274055415307,0.655176012154778,1,0,0,0
-0.0265,-25.6306859718257,0.399124768528007,1,0,0,0
-0.0264,-25.5339664021207,0.106506204387259,1,0,0,0
-0.0263,-25.4372468324157,0.195870327235486,1,0,0,0
-0.0262,-25.3405272627107,0.480301460326306,1,0,0,0
-0.0261,-25.2438076930057,0.720727964218449,1,0,0,0
-0.026,-25.1470881233007,0.895122258262626,1,0,0,0
-0.0259,-25.0503685535957,0.98750655168018,1,0,0,0
-0.0258,-24.9536489838907,0.989416709107325,1,0,0,0
-0.0257,-24.8569294141857,0.900677724269393,1,0,0,0
-0.0256,-24.7602098444807,0.729419753840501,1,0,0,0
-0.0255,-24.6634902747757,0.491333242486217,1,0,0,0
-0.0254,-24.5667707050707,0.208231383616852,1,0,0,0
-0.0253,-24.4700511353657,0.0939483785704881,1,0,0,0
-0.0252,-24.3733315656607,0.38752070583561,1,0,0,0
-0.0251,-24.2766119959557,0.645588862541823,1,0,0,0
-0.025,-24.1798924262507,0.84450896150189,1,0,0,0
-0.0249,-24.0831728565457,0.966056187848559,1,0,0,0
-0.0248,-23.9864532868407,0.999094534162919,1,0,0,0
-0.0247,-23.8897337171357,0.940597067780819,1,0,0,0
-0.0246,-23.7930141474307,0.795923254641542,1,0,0,0
-0.0245,-23.6962945777257,0.578327931608632,1,0,0,0
-0.0244,-23.5995750080207,0.30774691461515,1,0,0,0
-0.0243,-23.5028554383157,0.00897050372157682,1,0,0,0
-0.0242,-23.4061358686107,0.290627773692491,1,0,0,0
-0.0241,-23.3094162989057,0.563599091847499,1,0,0,0
-0.024,-23.2126967292007,0.784934154229703,1,0,0,0
-0.0239,-23.1159771594956,0.934354514585414,1,0,0,0
-0.0238,-23.0192575897906,0.998170463231638,1,0,0,0
-0.0237,-22.9225380200856,0.970535261423852,1,0,0,0
-0.0236,-22.8258184503806,0.853980812370417,1,0,0,0
-0.0235,-22.7290988806756,0.659185691373973,1,0,0,0
-0.0234,-22.6323793109706,0.403996787892902,1,0,0,0
-0.0233,-22.5356597412656,0.111794195474469,1,0,0,0
-0.0232,-22.4389401715606,0.190650843667077,1,0,0,0
-0.0231,-22.3422206018556,0.475628686943151,1,0,0,0
-0.023,-22.2455010321506,0.717030014772088,1,0,0,0
-0.0229,-22.1487814624456,0.892737934334219,1,0,0,0
