parameter,grid_index,theta_value,profile_objective,objective_delta,support
B_supp_scale,20,1.2925,0.135571171506621,0.135532878384032,1
B_supp_scale,21,1.35,0.199321796623677,0.199283503501087,1
B_supp_scale,22,1.4075,0.276350229002306,0.276311935879717,1
B_supp_scale,23,1.465,0.366654166133638,0.366615873011048,1
B_supp_scale,24,1.5225,0.470232991404633,0.470194698282044,1
B_supp_scale,25,1.58,0.587086489295755,0.587048196173166,1
B_supp_scale,26,1.6375,0.717214567828499,0.71717627470591,1
B_supp_scale,27,1.695,0.860617170106434,0.860578876983845,1
B_supp_scale,28,1.7525,1.01729427601571,1.01725598289312,0
B_supp_scale,29,1.81,1.18724581946041,1.18720752633782,0
B_supp_scale,30,1.8675,1.37047183935982,1.37043354623723,0
B_supp_scale,31,1.925,1.56697224679464,1.56693395367205,0
B_supp_scale,32,1.9825,1.77674709382439,1.7767088007018,0
B_supp_scale,33,2.04,1.99979636110106,1.99975806797847,0
B_supp_scale,34,2.0975,2.2361199394028,2.23608164628021,0
B_supp_scale,35,2.155,2.48571790778462,2.48567961466203,0
B_supp_scale,36,2.2125,2.74859025456641,2.74855196144382,0
B_supp_scale,37,2.27,3.0247369431744,3.02469865005181,0
B_supp_scale,38,2.3275,3.31466930593367,3.31463101281108,0
B_supp_scale,39,2.385,3.6186236741544,3.61858538103181,0
B_supp_scale,40,2.4425,3.93654875772566,3.93651046460307,0
B_supp_scale,41,2.5,4.26844893405296,4.26841064093037,0
