pair_id,theta_i,theta_j,profile_objective,objective_delta
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.25,0.118499315657878,0.118455261382251
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.333333333333333,0.102222885040335,0.102178830764708
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.416666666666667,0.0878787389846614,0.0878346847090348
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.5,0.0754668774908577,0.075422823215231
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.583333333333333,0.0649873005589238,0.0649432462832971
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.666666666666667,0.056432076610633,0.0563880223350064
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.75,0.0490153662000806,0.048971311924454
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.833333333333333,0.0422941207335577,0.0422500664579311
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.916666666666667,0.0362683402110642,0.0362242859354375
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1,0.0309380246326,0.0308939703569734
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.08333333333333,0.0263031739981653,0.0262591197225387
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.16666666666667,0.02236378830776,0.0223197340321334
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.25,0.0191198675613841,0.0190758132857575
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.33333333333333,0.0165714117590376,0.0165273574834109
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.41666666666667,0.0147184296460812,0.0146743753704546
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.5,0.0135609418364768,0.0135168875608502
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.58333333333333,0.0130989519327013,0.0130548976570747
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.66666666666667,0.0133327572112618,0.0132887029356352
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.75,0.0142630069203387,0.014218952644712
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.83333333333333,0.0158918062573697,0.015847751981743
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,1.91666666666667,0.0182357175489258,0.0181916632732992
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,2,0.0212126640262842,0.0211686097506576
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0,0.146505812433585,0.146461758157958
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.0833333333333333,0.126662767385931,0.126618713110305
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.166666666666667,0.108752006900147,0.10870795262452
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.25,0.0927735309762324,0.0927294767006058
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.333333333333333,0.0787273396141876,0.078683285338561
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.416666666666667,0.0666134328140124,0.0665693785383857
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.5,0.0564318105757067,0.05638775630008
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.583333333333333,0.0481797646201958,0.0481357103445691
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.666666666666667,0.0411007879383054,0.0410567336626788
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.75,0.0347172762004441,0.0346732219248175
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.833333333333333,0.0290292294066121,0.0289851751309854
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,0.916666666666667,0.0240366475568096,0.0239925932811829
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1,0.0197395306510365,0.0196954763754099
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.08333333333333,0.0161378786892928,0.0160938244136662
