field_T,current_uA,dVdI_full_ohm,dVdI_covered_ohm,dVdI_boundary_ohm,dVdI_uncovered_ohm
-1.5,4.050000190734863,60.610996219536446,58.948724518594645,62.57149880905945,60.274920653314894
-1.5,4.074999809265137,60.32437824805811,58.68188233587307,62.27106034061808,59.97962985615641
-1.5,4.099999904632568,60.04179719316153,58.42015067912871,61.97491535055133,59.68656265068739
-1.5,4.125,59.76418518079254,58.163928809154186,61.684132813747965,59.39719892020639
-1.5,4.150000095367432,59.49137419073941,57.91338216446957,61.39831609907333,59.11121849710935
-1.5,4.175000190734863,59.22393231926026,57.66865823160515,61.11828189559037,58.8294344116789
-1.5,4.199999809265137,58.960196201369854,57.428227422385135,60.84187195634786,58.55065981778398
-1.5,4.224999904632568,58.701023945158795,57.19286502038585,60.570460799748616,58.27517777669391
-1.5,4.25,58.447203132037885,56.963600470537585,60.30458013288626,58.00378559296405
-1.5,4.275000095367432,58.197978523809525,56.73884699720202,60.04355614920496,57.7367589671494
-1.5,4.300000190734863,57.954200282315014,56.51965086963992,59.788484131527184,57.47435249332602
-1.5,4.324999809265137,57.71442193588473,56.30517669264782,59.53726685916399,57.21514996409633
-1.5,4.349999904632568,57.479025522746724,56.09501815382919,59.29073387654853,56.960017075082305
-1.5,4.375,57.24920272718009,55.890473575676424,59.050282584542856,56.70972508794239
-1.5,4.400000095367432,57.02380169608705,55.690349124912245,58.8143787486988,56.463689519770014
-1.5,4.425000190734863,56.80362656027546,55.495426875368594,58.583833557325306,56.222735317602655
-1.5,4.449999809265137,56.58769066291279,55.3048720896677,58.35780895183598,55.98546950768696
-1.5,4.474999904632568,56.37583994265606,55.11829732959541,58.136225706216464,55.751958060990546
-1.5,4.5,56.169274474985286,54.9367628796208,57.92016696906285,55.523748520972276
-1.5,4.525000095367432,55.967144596053004,54.75939389948962,57.70876482701806,55.30005005746625
-1.5,4.550000190734863,55.77010018780129,54.58723686489702,57.50254753443187,55.08113124219835
-1.5,4.574999809265137,55.57718129314071,54.41892802258462,57.300678785703894,54.86642059974156
-1.5,4.599999904632568,55.38801277528819,54.25417151992497,57.102807198560185,54.65540267198412
-1.5,4.625,55.20362361423395,54.09395554443654,56.91001324712852,54.449093680839724
-1.5,4.650000095367432,55.023717335464426,53.93772314054513,56.72178494168293,54.247841460948166
-1.5,4.675000190734863,54.84848140035956,53.7859858232041,56.53860518838701,54.05099547390364
-1.5,4.699999809265137,54.67693661910107,53.6377037868333,56.35934617606654,53.85785775773729
-1.5,4.724999904632568,54.509339289563286,53.4931274465298,56.184057345475594,53.66896848139004
-1.5,4.75,54.346027587815115,53.352392773235806,56.01320032256808,53.48477831701621
-1.5,4.775000095367432,54.18650500844251,53.215023217503585,55.8464905796809,53.304480775116645
-1.5,4.800000190734863,54.03168392158659,53.08208764799565,55.684766870102976,53.12887192070684
-1.5,4.824999809265137,53.88021069281149,52.95224991791383,55.5263713876775,52.95697971710979
-1.5,4.849999904632568,53.73177030616807,52.82488785847909,55.37131779043193,52.78847182953632
-1.5,4.875,53.58743441139177,52.7013789491275,55.22037862551315,52.62439961122254
-1.5,4.900000095367432,53.447259984698576,52.58147162505611,55.07413243535302,52.46454743222694
-1.5,4.925000190734863,53.311050209735185,52.46566515536961,54.9313918882026,52.309085268498166
-1.5,4.949999809265137,53.17745267875853,52.352088973440914,54.79169536718746,52.156183060730655
-1.5,4.974999904632568,53.046781891379396,52.240157755383734,54.65562094987945,52.00703696271103
-1.5,5.0,52.98249686829908,52.18515172565213,54.588318598686676,51.93405938622792
-1.475,0.0,5.181266982987832,5.047558455931542,5.346708276385499,5.1439087955347516
-1.475,0.02500000037252903,5.693393581012802,5.652170380774205,5.812975010210463,5.590442727594733
-1.475,0.05000000074505806,9.443886159842265,10.078887349201914,9.227030154075782,8.862840685815833
-1.475,0.07500000298023224,13.489474868600851,14.844289983185238,12.904513320962085,12.412825108429494
-1.475,0.10000000149011612,13.063287669601209,14.310397276377621,12.500280951570323,12.104961239911734
-1.475,0.125,11.35576252620248,12.2647449495392,10.932250238568727,10.674802996252708
-1.475,0.15000000596046448,10.717627427304684,11.523022267056252,10.36549900721339,10.083442762581662
-1.475,0.17499999701976776,10.479924273404812,11.298724651438775,10.19409814350918,9.738966002626519
-1.475,0.20000000298023224,10.370732586774544,11.24113267357275,10.151659956031445,9.470058938449299
-1.475,0.22499999403953552,10.318192500122684,11.236986374716757,10.150906496918637,9.282152602173248
-1.475,0.25,10.293262373760314,11.235684439675644,10.151002096768671,9.191475467568907
-1.475,0.2750000059604645,10.28186629453257,11.221894407183505,10.139607551957603,9.183357945073851
-1.475,0.30000001192092896,10.276908626912771,11.200065740600621,10.120942219118767,9.219796681510353
-1.475,0.32499998807907104,10.27494333911045,11.178124838717736,10.102066524985865,9.267752591814705
-1.475,0.3499999940395355,10.274457354216906,11.16032369112699,10.086768196119223,9.310744584803757
-1.475,0.375,10.27488135486145,11.147569167843912,10.075862788810838,9.344333921434497
-1.475,0.4000000059604645,10.27602146304173,11.139253546081392,10.068859397059839,9.369289881666987
-1.475,0.42500001192092896,10.277869551264601,11.13447979255703,10.06502164376819,9.38779346763684
