device,caseName,description,topology,linkClass,calibrationMode,alphaGap,alphaPriorPenalty,gammaW,pW,meanW,minW,activeWeakLinkFraction,medianWeakIc_A,medianAllIc_A,medianWeakDelta_meV,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9
AS006,combined_a4_1_g0_003_p0_03,"combined weak-link classes, alpha=4.1, tau=0.003, p=0.03",combined,boundary_constriction,shape,4.1,0.999999999999997,0.003,0.03,0.970024836601307,0.003,0.0300653594771242,3.83074106562432e-09,4.61251522677719e-07,0.147605539064748,165.495049064998,0.209211980761952,0.273339022560114,0.296419309011486,0.162339878498212,0.0510622423567794,0.214520881591558,0.290636286134053,0.312605762991574,0.149637977115216,0.0478605651944645,240.98166683292,239.079756229372
AS006,combined_a4_1_g0_01_p0_03,"combined weak-link classes, alpha=4.1, tau=0.01, p=0.03",combined,boundary_constriction,shape,4.1,0.999999999999997,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,1.27464032424471e-08,4.60430329551765e-07,0.147605539064748,165.790215104134,0.20923094366085,0.273469990900659,0.296550721535234,0.162189894941472,0.0509835960400915,0.214241118416341,0.290021319189406,0.312028296080943,0.149987210804458,0.047650741245079,240.972856864772,239.770874272409
AS006,combined_a4_1_g0_03_p0_03,"combined weak-link classes, alpha=4.1, tau=0.03, p=0.03",combined,boundary_constriction,shape,4.1,0.999999999999997,0.03,0.03,0.970836601307189,0.03,0.0300653594771242,3.8063332694439e-08,4.58312630969676e-07,0.147605539064748,166.556272331724,0.209310735736507,0.274098150700532,0.297171134805867,0.161577291553382,0.0504344276300106,0.213867908888994,0.289141753997477,0.311217439451002,0.150475380697151,0.0474730455368002,240.977185320183,241.150943010996
AS006,crack_tunnel_a3_3_g0_01_p0_03,"tunnel/crack-like links, alpha=3.3, tau=0.01, p=0.03",tear_lane,crack_tunnel,shape,3.3,1,0.01,0.03,0.969803921568627,0.01,0.0305010893246187,1.00197780622316e-08,3.57593357077332e-07,0.122231280348529,171.729485743132,0.210129645030849,0.275616987863889,0.304011272061874,0.156493785297179,0.0473942795606019,0.213432857783314,0.277849704955916,0.305923101969695,0.155988972131852,0.0589629403488715,243.470837333683,250.828047596108
AS006,crack_tunnel_a3_3_g0_003_p0_03,"tunnel/crack-like links, alpha=3.3, tau=0.003, p=0.03",tear_lane,crack_tunnel,shape,3.3,1,0.003,0.03,0.969590413943355,0.003,0.0305010893246187,3.00859721593315e-09,3.57910249061755e-07,0.122231280348529,171.577437296172,0.210144524897297,0.275569907649961,0.303996030673501,0.156577015508532,0.0474383937722347,0.213419298967717,0.277523799515027,0.305638032329774,0.1563086449206,0.0593203325957061,243.489139828293,251.09117867187
AS006,crack_tunnel_a3_3_g0_03_p0_03,"tunnel/crack-like links, alpha=3.3, tau=0.03, p=0.03",tear_lane,crack_tunnel,shape,3.3,1,0.03,0.03,0.970413943355119,0.03,0.0305010893246187,2.99853519292718e-08,3.56713245640672e-07,0.122231280348529,172.153190459067,0.210289783895589,0.276196005978059,0.304566305112782,0.155927448735234,0.0473525686334739,0.213625011226134,0.279110464853971,0.307137053496533,0.154849288664147,0.0579631368275816,243.41026515176,250.204338829294
AS006,crack_tunnel_a3_7_g0_003_p0_03,"tunnel/crack-like links, alpha=3.7, tau=0.003, p=0.03",tear_lane,crack_tunnel,shape,3.7,0,0.003,0.03,0.969590413943355,0.003,0.0305010893246187,3.37327566634929e-09,4.01293309554089e-07,0.137047193118047,171.577437296172,0.211472791224559,0.280894158033997,0.304743229143066,0.156331100439558,0.0477552715389841,0.214585399555561,0.282473108299599,0.306036452220232,0.156326682068748,0.059481745506864,243.376366482837,251.561809085117
AS006,crack_tunnel_a3_7_g0_01_p0_03,"tunnel/crack-like links, alpha=3.7, tau=0.01, p=0.03",tear_lane,crack_tunnel,shape,3.7,0,0.01,0.03,0.969803921568627,0.01,0.0305010893246187,1.12342966152294e-08,4.00938006420039e-07,0.137047193118047,171.729485743132,0.211494535305322,0.281034024367733,0.304850039504566,0.156177195140533,0.0477295891002177,0.214602266081987,0.282809686288103,0.306332992506961,0.155997794233607,0.0591216644426421,243.374770795558,251.362421224177
AS006,crack_tunnel_a3_7_g0_03_p0_03,"tunnel/crack-like links, alpha=3.7, tau=0.03, p=0.03",tear_lane,crack_tunnel,shape,3.7,0,0.03,0.03,0.970413943355119,0.03,0.0305010893246187,3.36199400419108e-08,3.99951214809239e-07,0.137047193118047,172.153190459067,0.211701064133455,0.281756798861222,0.305545429521954,0.155510650849511,0.0476557065807433,0.214817002536021,0.284137992737996,0.307611859431318,0.15481649418022,0.0581056482120285,243.390838969169,250.73555206145
AS006,crack_tunnel_a4_1_g0_003_p0_03,"tunnel/crack-like links, alpha=4.1, tau=0.003, p=0.03",tear_lane,crack_tunnel,shape,4.1,0.999999999999997,0.003,0.03,0.969590413943355,0.003,0.0305010893246187,3.73795411676543e-09,4.44676370046422e-07,0.151863105887566,171.577437296172,0.212013197887505,0.283093123528853,0.304187827530032,0.156989292361508,0.0484075522792321,0.215278696258895,0.285495644996831,0.306245927146712,0.156343913236786,0.0595375722449172,242.471194126065,251.712604297049
