device,caseName,description,topology,calibrationMode,gammaW,pW,meanW,minW,activeWeakLinkFraction,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9
AS006,contact_relaxation_g0_03_p0_08,"metal-contact relaxation halos, \gamma_W=0.03, p_W=0.08",contact_relaxation,conductance,0.03,0.08,0.920962962962962,0.03,0.0814814814814815,147.759663668848,0.211209896645787,0.250880709123571,0.335183615672713,0.136939328017787,0.0474232866558828,0.189170399610606,0.193456355753732,0.261485482479059,0.194966344358735,0.0510881175125285,294.594037547635,282.682617518724
AS006,boundary_lane_g0_01_p0_03,"coverage-boundary lane, \gamma_W=0.01, p_W=0.03",boundary_lane,conductance,0.01,0.03,0.968941176470588,0.01,0.0313725490196078,165.611271162002,0.211249415429579,0.273137809366464,0.31601495412229,0.145612220967217,0.0480678218583996,0.234917023491764,0.322347042636956,0.363258631455591,0.135051960009453,0.047720519762766,229.257773674613,223.7016056537
AS006,boundary_lane_g0_03_p0_03,"coverage-boundary lane, \gamma_W=0.03, p_W=0.03",boundary_lane,conductance,0.03,0.03,0.96956862745098,0.03,0.0313725490196078,166.357948017447,0.211494837644222,0.273847039901049,0.316509580374417,0.145329176895118,0.0480739115459338,0.234216921850805,0.321179852437359,0.361992458100703,0.13495748374777,0.0477211004557218,230.036308817666,224.466862994943
AS006,shuffled_g0_03_p0_08,"shuffled W histogram, \gamma_W=0.03, p_W=0.08",shuffled,conductance,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,147.759663668848,0.211649308379046,0.270154220220768,0.320594819329047,0.142385590051091,0.0490694002847645,0.249879223153729,0.342742307090393,0.390191291704723,0.14006338784859,0.0487398133842504,219.769354972191,214.171725726847
AS006,shuffled_g0_003_p0_03,"shuffled W histogram, \gamma_W=0.003, p_W=0.03",shuffled,conductance,0.003,0.03,0.970024836601307,0.003,0.0300653594771242,165.32695007957,0.217269136960109,0.289571323583168,0.328894310100729,0.138643364241394,0.0479051132393578,0.238426827913347,0.330904341725057,0.369353342016886,0.134398428115223,0.0468634141680989,231.557074746853,227.517371425831
AS006,shuffled_g0_01_p0_03,"shuffled W histogram, \gamma_W=0.01, p_W=0.03",shuffled,conductance,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,165.611271162002,0.217327987252492,0.289713696626456,0.328984175189073,0.138615831584362,0.0479341435746762,0.238418645109608,0.330919567033766,0.369320147051311,0.134396369888856,0.0468679388134094,231.598990492378,227.582296839806
AS006,shuffled_g0_03_p0_03,"shuffled W histogram, \gamma_W=0.03, p_W=0.03",shuffled,conductance,0.03,0.03,0.970836601307189,0.03,0.0300653594771242,166.357948017447,0.217484475993126,0.290119330059576,0.329221430536826,0.138542629217334,0.0479872599449415,0.238447625578022,0.331065446727583,0.369308296668603,0.13440104849021,0.0468818513797077,231.696176765057,227.701547501664
AS006,boundary_lane_g0_03_p0_08,"coverage-boundary lane, \gamma_W=0.03, p_W=0.08",boundary_lane,conductance,0.03,0.08,0.9078605664488,0.03,0.0949891067538126,147.759663668848,0.220157113882994,0.282089532231543,0.323603220131294,0.145108323213852,0.0710049979363468,0.273137078676534,0.375210273906724,0.412183902220155,0.151709523527229,0.0795163861816407,192.86600602671,225.448625327433
AS006,uniform_g0_003_p0_08,"uniform W, same mean, \gamma_W=0.003, p_W=0.08",uniform,conductance,0.003,0.08,0.920066230936816,0.920066230936819,1,145.612980628154,0.220742527653118,0.296561806262768,0.336028378967208,0.136650871739019,0.0482875791364349,0.282277757414655,0.399421903176669,0.434991496173546,0.162297401681362,0.0478600134911947,206.882985884346,201.972288057312
AS006,uniform_g0_01_p0_08,"uniform W, same mean, \gamma_W=0.01, p_W=0.08",uniform,conductance,0.01,0.08,0.920627450980405,0.920627450980392,1,146.229568011476,0.220754353761922,0.296610025033158,0.336034984263767,0.136649066620845,0.0482891880388046,0.281003660255019,0.39758114760991,0.433218506345316,0.161156469207944,0.0478591810509519,207.633869439002,202.707214403478
